Country,Region,Income_Group,Year,GDP_Per_Capita,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Life_Expectancy,Education_Spend_PCT_GDP,Health_Spend_PCT_GDP,Exports_PCT_GDP,CO2_Emissions_Per_Capita,Internet_Users_PCT,Population
USA,Americas,High income,2000,65000.0,3.09,2.72,6.3,82.0,5.27,8.65,45.79,11.53,75.31,254964042.0
USA,Americas,High income,2001,67064.8,3.18,1.86,3.15,73.9,6.45,10.22,14.76,9.14,74.08,513223400.0
USA,Americas,High income,2002,71441.77,4.84,2.55,5.14,76.5,4.96,9.17,18.49,10.75,76.99,958084121.0
USA,Americas,High income,2003,68321.17,1.67,0.96,4.68,78.4,5.49,8.66,33.89,7.47,95.42,728335196.0
USA,Americas,High income,2004,64505.51,-0.19,3.39,6.48,79.9,5.38,8.55,15.21,8.56,81.39,393667846.0
USA,Americas,High income,2005,79474.14,4.1,0.74,5.27,80.9,6.39,10.34,37.55,9.59,81.27,162658749.0
USA,Americas,High income,2006,76696.86,2.8,4.95,4.04,79.5,4.39,7.21,38.13,12.71,88.28,167872147.0
USA,Americas,High income,2007,85572.18,4.01,4.95,6.59,83.0,5.84,14.06,20.8,9.2,89.89,151494052.0
USA,Americas,High income,2008,78314.66,2.36,4.4,5.18,76.2,5.28,9.54,44.78,8.96,83.92,1301611864.0
USA,Americas,High income,2009,50792.77,-2.7,6.0,7.32,80.9,5.81,11.06,31.76,9.38,100.0,154517668.0
USA,Americas,High income,2010,75392.1,1.49,0.5,5.59,81.0,5.51,8.65,15.85,9.16,91.57,1320102131.0
USA,Americas,High income,2011,70613.67,0.76,3.43,1.0,78.8,6.9,8.97,13.26,7.85,86.57,52123283.0
USA,Americas,High income,2012,85477.07,2.31,7.93,4.62,81.4,5.47,7.25,41.43,11.5,100.0,515212494.0
USA,Americas,High income,2013,69922.35,0.56,5.81,7.78,79.2,5.58,8.26,39.23,13.41,100.0,23714667.0
USA,Americas,High income,2014,59822.06,-0.59,3.14,2.88,82.0,4.58,11.32,22.17,9.36,100.0,1144202469.0
USA,Americas,High income,2015,64848.5,-0.02,5.73,10.08,80.6,5.29,6.84,41.91,12.6,93.83,1256005809.0
USA,Americas,High income,2016,98790.84,2.65,3.69,3.64,81.9,5.79,7.93,48.66,10.95,92.09,997194820.0
USA,Americas,High income,2017,114409.64,3.38,1.5,2.74,83.1,6.77,9.64,39.41,8.26,100.0,515118266.0
USA,Americas,High income,2018,72375.16,0.6,1.37,4.85,82.4,5.78,10.24,30.13,12.91,100.0,273742561.0
USA,Americas,High income,2019,239126.98,7.1,1.07,6.95,81.9,5.36,8.81,37.4,9.1,100.0,539444271.0
USA,Americas,High income,2020,20512.11,-5.6,4.71,8.43,79.5,5.67,9.58,21.16,10.31,100.0,1228383614.0
USA,Americas,High income,2021,152445.56,4.14,4.74,7.13,80.2,6.88,10.36,23.96,10.61,100.0,1278580153.0
USA,Americas,High income,2022,127971.65,3.13,14.71,6.14,84.6,6.45,9.98,26.85,11.52,100.0,809803057.0
USA,Americas,High income,2023,97394.39,1.77,2.92,3.93,78.9,5.86,8.38,30.8,8.21,100.0,731379442.0
China,Asia,Upper middle income,2000,10500.0,2.21,7.36,5.54,72.4,4.05,4.02,46.44,6.27,34.75,1113363080.0
China,Asia,Upper middle income,2001,10968.94,4.47,5.11,3.66,70.6,5.66,4.5,21.82,5.64,40.38,1000576994.0
China,Asia,Upper middle income,2002,10678.79,0.85,7.84,11.24,74.4,2.48,4.27,37.67,3.58,62.44,664106274.0
China,Asia,Upper middle income,2003,12483.24,5.94,5.96,5.13,69.9,3.89,2.01,12.0,8.09,72.73,63902962.0
China,Asia,Upper middle income,2004,14076.34,7.6,3.13,9.33,72.6,3.02,5.69,26.99,3.8,61.7,1316352223.0
China,Asia,Upper middle income,2005,12194.09,3.04,2.21,9.56,71.5,6.11,6.03,25.71,5.88,61.42,1267538223.0
China,Asia,Upper middle income,2006,13833.47,4.7,4.75,6.58,71.9,3.41,6.27,28.57,3.61,73.0,1029231926.0
China,Asia,Upper middle income,2007,14547.79,4.77,4.74,8.75,74.2,3.29,2.32,12.79,3.66,77.12,1303094877.0
China,Asia,Upper middle income,2008,13779.33,3.46,10.2,8.65,74.8,5.31,5.03,31.82,4.38,70.24,1330874702.0
China,Asia,Upper middle income,2009,12192.79,1.67,11.82,9.13,69.8,3.55,6.81,13.03,6.54,75.17,1105570591.0
China,Asia,Upper middle income,2010,15496.87,3.97,4.21,7.15,72.1,4.98,4.78,16.75,4.36,74.13,865696180.0
China,Asia,Upper middle income,2011,13911.59,2.59,5.13,7.41,74.8,4.87,6.73,20.23,3.67,85.1,117359253.0
China,Asia,Upper middle income,2012,18382.06,4.78,8.95,8.72,73.5,3.98,3.5,24.81,4.42,76.23,1044589809.0
China,Asia,Upper middle income,2013,13465.49,1.93,6.99,7.18,71.1,3.16,4.49,29.58,5.14,84.34,1390154232.0
China,Asia,Upper middle income,2014,18789.51,4.24,4.45,7.05,75.1,5.45,6.44,46.53,3.47,84.72,64102209.0
China,Asia,Upper middle income,2015,20199.33,4.46,5.78,8.95,71.3,4.78,4.76,11.45,7.07,59.4,109289624.0
China,Asia,Upper middle income,2016,22416.88,4.85,9.75,8.9,73.2,3.1,5.74,11.8,8.66,90.79,1382192943.0
China,Asia,Upper middle income,2017,16866.13,2.83,6.59,4.81,75.2,3.91,5.41,27.79,0.1,71.49,383133197.0
China,Asia,Upper middle income,2018,21319.39,4.01,6.09,6.1,75.9,2.93,4.79,26.2,6.03,89.12,865570473.0
China,Asia,Upper middle income,2019,13142.34,1.19,4.34,6.39,75.3,6.05,5.17,40.51,5.34,95.03,785532691.0
China,Asia,Upper middle income,2020,9267.41,-0.62,7.94,11.29,77.7,3.04,6.03,35.58,1.48,73.17,1265870093.0
China,Asia,Upper middle income,2021,19146.19,2.9,6.4,2.66,74.2,5.33,6.47,28.31,4.97,94.46,361913021.0
China,Asia,Upper middle income,2022,30459.89,4.96,9.93,2.87,75.1,2.7,6.0,28.67,3.12,82.86,1255555380.0
China,Asia,Upper middle income,2023,14299.78,1.35,10.11,6.36,74.6,3.52,3.78,19.41,2.13,87.58,510295671.0
Germany,Europe,High income,2000,46000.0,5.74,3.07,3.6,79.4,5.39,8.67,36.14,11.52,74.69,518975708.0
Germany,Europe,High income,2001,46535.22,1.16,7.75,4.38,77.9,3.31,10.28,20.12,10.06,91.19,745192823.0
Germany,Europe,High income,2002,47830.02,1.97,1.09,1.79,79.7,4.74,6.87,23.53,7.84,99.87,1104945148.0
Germany,Europe,High income,2003,51426.4,3.79,1.25,4.99,84.2,6.51,8.34,45.82,9.22,77.82,508633674.0
Germany,Europe,High income,2004,53538.99,3.87,6.82,2.2,80.7,4.85,8.27,24.08,8.27,86.49,574850359.0
Germany,Europe,High income,2005,47642.84,0.7,3.78,4.83,80.2,5.77,7.91,24.67,11.06,89.58,779689669.0
Germany,Europe,High income,2006,43822.62,-0.8,4.09,3.67,81.0,4.74,6.29,13.72,10.1,91.6,404438459.0
Germany,Europe,High income,2007,47874.52,0.57,0.72,5.54,85.6,3.89,8.78,25.93,8.8,98.1,954263060.0
Germany,Europe,High income,2008,58970.46,3.15,7.88,1.0,78.6,6.08,8.7,33.71,8.79,92.87,804475122.0
Germany,Europe,High income,2009,38070.78,-2.08,4.76,5.23,79.2,6.09,8.52,26.81,11.09,100.0,732530062.0
Germany,Europe,High income,2010,66587.59,3.77,2.35,7.4,79.7,3.46,7.49,11.29,9.3,95.18,325481667.0
Germany,Europe,High income,2011,80487.71,5.22,2.52,6.65,82.4,5.6,7.67,32.87,10.33,100.0,469200408.0
Germany,Europe,High income,2012,64142.57,2.81,2.17,6.27,85.3,5.68,9.37,25.41,8.3,100.0,47428642.0
Germany,Europe,High income,2013,50100.79,0.66,6.02,5.8,80.3,6.33,10.93,25.55,9.15,93.97,1011292469.0
Germany,Europe,High income,2014,77176.9,3.77,5.71,5.83,84.9,4.73,7.13,12.21,12.99,100.0,215115289.0
Germany,Europe,High income,2015,62826.17,2.1,3.36,10.29,80.8,5.55,11.67,35.9,10.43,100.0,213978391.0
Germany,Europe,High income,2016,109791.17,5.59,5.69,8.19,80.4,4.51,8.81,30.56,12.19,87.08,77138914.0
Germany,Europe,High income,2017,104636.65,4.95,5.14,3.83,83.3,3.18,8.66,36.28,12.54,97.32,633379008.0
Germany,Europe,High income,2018,62668.72,1.73,0.5,4.51,81.2,2.8,8.92,27.69,11.39,100.0,18825692.0
Germany,Europe,High income,2019,101029.23,4.23,0.97,6.03,80.3,5.34,9.0,31.58,8.64,100.0,1050069678.0
Germany,Europe,High income,2020,18533.92,-4.44,2.71,6.85,80.9,5.47,8.18,22.87,10.21,100.0,734384182.0
Germany,Europe,High income,2021,276022.97,8.91,0.5,2.52,79.8,5.7,9.43,27.45,9.7,100.0,379407170.0
Germany,Europe,High income,2022,48077.25,0.2,10.5,6.87,84.8,6.22,7.31,24.75,10.98,100.0,139668229.0
Germany,Europe,High income,2023,101107.51,3.48,4.63,3.12,82.9,5.75,11.47,19.93,8.69,100.0,1254921978.0
India,Asia,Lower middle income,2000,2100.0,6.48,5.5,11.85,64.6,2.48,4.57,17.96,0.1,9.43,873996397.0
India,Asia,Lower middle income,2001,2253.68,7.32,10.49,5.66,61.6,2.46,4.46,24.69,0.83,39.96,31945797.0
India,Asia,Lower middle income,2002,2378.45,6.42,4.58,7.3,66.8,3.17,2.72,25.18,2.2,22.6,26237752.0
India,Asia,Lower middle income,2003,2305.78,3.17,4.74,11.1,69.5,3.72,2.3,30.27,4.74,45.2,931218826.0
India,Asia,Lower middle income,2004,2098.1,-0.02,5.44,8.75,65.7,3.52,1.91,26.87,0.1,24.88,404526885.0
India,Asia,Lower middle income,2005,2237.89,1.28,10.68,8.23,66.9,1.25,6.12,21.95,1.69,34.29,301309060.0
India,Asia,Lower middle income,2006,2622.57,3.77,8.24,15.12,65.7,4.15,1.95,24.65,5.04,27.73,345339646.0
India,Asia,Lower middle income,2007,4342.74,10.94,9.0,11.07,63.9,3.93,1.0,36.44,0.1,33.24,758890376.0
India,Asia,Lower middle income,2008,3512.37,6.64,11.22,11.12,68.4,3.83,3.69,24.3,0.1,41.3,253215196.0
India,Asia,Lower middle income,2009,3020.94,4.12,11.64,10.27,67.2,2.79,4.69,24.2,0.57,47.37,1160567206.0
India,Asia,Lower middle income,2010,3686.36,5.79,7.08,9.13,65.9,3.22,2.28,37.56,0.1,38.13,755518064.0
India,Asia,Lower middle income,2011,3295.22,4.18,6.7,12.09,68.4,3.28,1.0,30.86,2.93,41.97,1118397138.0
India,Asia,Lower middle income,2012,3342.1,3.95,10.82,14.6,66.1,2.55,5.18,40.8,0.45,38.8,496793710.0
India,Asia,Lower middle income,2013,3793.85,4.65,5.99,7.9,63.1,1.79,1.39,31.83,1.17,36.24,1230826071.0
